Rank,Institution,city,Continent,Founded,Affiliation,DeliveryMode,Enrollment,link,Country,ContinentID,CountryID,LocationID,AffiliationID,DeliveryModeID,InstitutionID,RankingID
21,University System of Ohio,Ohio,North America,2007,Public,In-Person,429310,https://en.wikipedia.org/wiki/University_System_of_Ohio,United States,CO02,CN04,LO19,AF01,DM02,IN21,RA021
22,University of Delhi,Delhi,Asia,1922,Public,In-Person/Distance,700000,https://en.wikipedia.org/wiki/University_of_Delhi,India,CO01,CN01,LO20,AF01,DM04,IN22,RA022
23,Payame Noor University,Iran,Asia,1987,Public,Distance/In-Person,400000,https://en.wikipedia.org/wiki/Payame_Noor_University,Iran,CO01,CN05,LO05,AF01,DM01,IN23,RA023
24,Sikkim Manipal University,Sikkim,Asia,1995,Private,In-Person,390000,https://en.wikipedia.org/wiki/Sikkim_Manipal_University,India,CO01,CN01,LO21,AF02,DM02,IN24,RA024
25,University of South Africa,"Pretoria, Gauteng",Africa,1873,Public,Distance,370000,https://en.wikipedia.org/wiki/University_of_South_Africa,South Africa,CO04,CN13,LO22,AF01,DM03,IN25,RA025
26,State University of New York system,New York,North America,1948,Public,In-Person,363612,https://en.wikipedia.org/wiki/State_University_of_New_York,United States,CO02,CN04,LO23,AF01,DM02,IN26,RA026
27,National Autonomous University of Mexico,Mexico City,North America,1551,Public,In-Person,356530,https://en.wikipedia.org/wiki/National_Autonomous_University_of_Mexico,Mexico,CO02,CN09,LO24,AF01,DM02,IN27,RA027
28,National Centre for Distance Education,France,Europe,1939,Public,Distance,350000,https://en.wikipedia.org/wiki/Centre_national_d%27enseignement_%C3%A0_distance,France,CO05,CN14,LO25,AF01,DM03,IN28,RA028
29,University System of Georgia,Georgia,North America,1931,Public,In-Person,318027,https://en.wikipedia.org/wiki/University_System_of_Georgia,United States,CO02,CN04,LO26,AF01,DM02,IN29,RA029
30,University of Buenos Aires,Buenos Aires,South America,1821,Public,In-Person,316050,https://en.wikipedia.org/wiki/University_of_Buenos_Aires,Argentina,CO06,CN15,LO27,AF01,DM02,IN30,RA030
30,Minnesota State Colleges and Universities,Minnesota,North America,1995,Public,In-Person,300000,https://en.wikipedia.org/wiki/Minnesota_State_Colleges_and_Universities,United States,CO02,CN04,LO28,AF01,DM02,IN31,RA031
31,Osmania University,"Hyderabad, Telangana",Asia,1918,Public,In-Person,300000,https://en.wikipedia.org/wiki/Osmania_University,India,CO01,CN01,LO29,AF01,DM02,IN32,RA032
32,National University of Distance Education,Spain,Europe,1972,Public,Distance/In-Person,260079,https://en.wikipedia.org/wiki/National_University_of_Distance_Education,Spain,CO05,CN16,LO30,AF01,DM01,IN33,RA033
33,Rajiv Gandhi Technical University,"Bhopal, Madhya Pradesh",Asia,1998,Public,In-Person,260000,https://en.wikipedia.org/wiki/Rajiv_Gandhi_Technical_University,India,CO01,CN01,LO31,AF01,DM02,IN34,RA034
34,Cairo University,Giza,Africa,1908,Public,In-Person,257200,https://en.wikipedia.org/wiki/Cairo_University,Egypt,CO04,CN17,LO32,AF01,DM02,IN35,RA035
35,University of California system,California,North America,1869,Public,In-Person,256000,https://en.wikipedia.org/wiki/University_of_California,United States,CO02,CN04,LO04,AF01,DM02,IN36,RA036
36,City University of New York,New York,North America,1961,Public,In-Person,243000,https://en.wikipedia.org/wiki/City_University_of_New_York,United States,CO02,CN04,LO23,AF01,DM02,IN37,RA037
